-0.08807433220498533+0.18754281791399433*I,0.12820135878748024-0.27298809409588837*I
-0.08798800096492652+0.18696177243093062*I,0.12826239394686656-0.272539030840118*I
-0.08790148028230466+0.1863825296973891*I,0.12832333075261018-0.27209128820190076*I
-0.08781477101083053+0.18580507929391885*I,0.12838417002145064-0.27164485674030325*I
-0.08772787399630856+0.18522941089748865*I,0.12844491256333485-0.27119972710027224*I
-0.08764079007672432+0.1846555142803155*I,0.12850555918149548-0.27075589001154604*I
-0.08755352008233026+0.18408337930870905*I,0.12856611067252774-0.2703133362875807*I
-0.08746606483573074+0.1835129959419365*I,0.12862656782646534-0.2698720568244957*I
-0.0873784251519657+0.18294435423110159*I,0.12868693142685572-0.26943204260003245*I
-0.08729060183859326+0.18237744431804348*I,0.12874720225083375-0.2689932846725315*I
-0.08720259569577099+0.1818122564342504*I,0.1288073810691947-0.26855577417992343*I
-0.08711440751633624+0.1812487808997908*I,0.12886746864646587-0.26811950233873644*I
-0.08702603808588516+0.18068700812225982*I,0.12892746574097752-0.2676844604431177*I
-0.0869374881828511+0.18012692859574228*I,0.128987373104933-0.26725063986387043*I
-0.08684875857858114+0.17956853289979077*I,0.12904719148447708-0.26681803204750537*I
-0.08675985003741234+0.1790118116984191*I,0.12910692161976423-0.26638662851530565*I
-0.08667076331674664+0.17845675573911052*I,0.1291665642450258-0.2659564208624065*I
-0.08658149916712461+0.17790335585184144*I,0.12922612008863554-0.26552740075688874*I
-0.08649205833229842+0.177351602948118*I,0.1292855898731754-0.26509955993888434*I
-0.08640244154930386+0.17680148802002915*I,0.1293449743154994-0.2646728902196977*I
-0.08631264954853099+0.176253002139311*I,0.12940427412679723-0.26424738348093685*I
-0.08622268305379441+0.17570613645642758*I,0.1294634900126566-0.2638230316736605*I
-0.08613254278240205+0.17516088219966217*I,0.12952262267312525-0.26339982681753454*I
-0.0860422294452237+0.17461723067422535*I,0.12958167280277175-0.2629777610000045*I
-0.08595174374675771+0.17407517326137192*I,0.1296406410907453-0.26255682637547545*I
-0.0858610863851983+0.17353470141753524*I,0.12969952822083625-0.26213701516450966*I
-0.08577025805249833+0.17299580667346784*I,0.12975833487153055-0.26171831965302733*I
-0.08567925943443765+0.17245848063340288*I,0.12981706171607313-0.2613007321915306*I
-0.0855880912106845+0.17192271497421938*I,0.1298757094225214-0.26088424519432757*I
